"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2018","4,850","4,796","4,889","4,782","146.92K","1.17%"
"May 14, 2018","4,794","4,790","4,815","4,732","91.75K","0.02%"
"May 11, 2018","4,793","4,786","4,824","4,766","97.43K","0.76%"
"May 10, 2018","4,757","4,825","4,842","4,743","116.67K","-0.88%"
"May 09, 2018","4,799","4,655","4,821","4,655","134.56K","3.81%"
"May 08, 2018","4,623","4,732","4,732","4,560","195.02K","-2.65%"
"May 07, 2018","4,749","4,680","4,765","4,680","104.63K","1.74%"
"May 04, 2018","4,668","4,564","4,678","4,560","140.19K","2.12%"
"May 03, 2018","4,571","4,516","4,578","4,492","132.65K","1.31%"
"May 02, 2018","4,512","4,510","4,530","4,475","143.78K","0.56%"
"May 01, 2018","4,487","4,566","4,566","4,472","83.95K","-2.09%"
"Apr 30, 2018","4,583","4,516","4,610","4,472","161.28K","0.79%"
"Apr 27, 2018","4,547","4,538","4,563","4,520","97.59K","-0.24%"
"Apr 26, 2018","4,558","4,576","4,596","4,534","128.88K","-0.11%"
"Apr 25, 2018","4,563","4,524","4,575","4,507","146.26K","0.73%"
"Apr 24, 2018","4,530","4,579","4,617","4,511","141.82K","-0.77%"
"Apr 23, 2018","4,565","4,543","4,582","4,468","126.20K","0.75%"
"Apr 20, 2018","4,531","4,529","4,546","4,486","116.10K","0.80%"
"Apr 19, 2018","4,495","4,490","4,578","4,483","102.74K","0.56%"
"Apr 18, 2018","4,470","4,365","4,493","4,365","121.96K","2.81%"
"Apr 17, 2018","4,348","4,351","4,378","4,303","114.01K","-0.07%"
"Apr 16, 2018","4,351","4,385","4,385","4,326","111.55K","-1.14%"
"Apr 13, 2018","4,401","4,364","4,419","4,349","141.17K","0.89%"
"Apr 12, 2018","4,362","4,354","4,394","4,308","149.95K","0.18%"
"Apr 11, 2018","4,354","4,255","4,396","4,243","200.34K","2.50%"
"Apr 10, 2018","4,248","4,133","4,254","4,133","147.93K","3.21%"
"Apr 09, 2018","4,116","4,041","4,128","4,034","133.31K","2.16%"
"Apr 06, 2018","4,029","4,101","4,130","4,015","170.14K","-2.09%"
"Apr 05, 2018","4,115","4,128","4,162","4,098","150.18K","0.10%"
"Apr 04, 2018","4,111","4,119","4,128","4,043","192.61K","-0.39%"
"Apr 03, 2018","4,127","4,103","4,144","4,098","122.19K","0.36%"
"Apr 02, 2018","4,112","4,246","4,255","4,104","152.80K","-2.88%"
"Mar 29, 2018","4,234","4,183","4,245","4,177","86.11K","1.17%"
"Mar 28, 2018","4,185","4,223","4,238","4,155","174.96K","-1.11%"
"Mar 27, 2018","4,232","4,261","4,305","4,226","148.94K","-0.35%"
"Mar 26, 2018","4,247","4,270","4,279","4,222","133.90K","-0.45%"
"Mar 23, 2018","4,266","4,220","4,274","4,195","153.81K","1.55%"
"Mar 22, 2018","4,201","4,245","4,259","4,194","139.07K","-1.18%"
"Mar 21, 2018","4,251","4,164","4,259","4,155","162.71K","2.21%"
"Mar 20, 2018","4,159","4,079","4,185","4,073","170.09K","2.97%"
"Mar 19, 2018","4,039","4,033","4,053","3,992","101.56K","-0.27%"
"Mar 16, 2018","4,050","3,982","4,057","3,968","130.80K","1.66%"
"Mar 15, 2018","3,984","3,960","3,998","3,944","144.37K","0.91%"
"Mar 14, 2018","3,948","3,935","3,975","3,902","212.12K","0.74%"
"Mar 13, 2018","3,919","3,979","4,014","3,906","191.14K","-1.46%"
"Mar 12, 2018","3,977","4,036","4,039","3,945","137.29K","-1.00%"
"Mar 09, 2018","4,017","3,934","4,041","3,921","144.13K","1.88%"
"Mar 08, 2018","3,943","3,975","3,998","3,920","148.94K","-0.43%"
"Mar 07, 2018","3,960","4,058","4,070","3,942","212.63K","-2.54%"
"Mar 06, 2018","4,063","4,080","4,110","4,041","152.20K","-0.29%"
"Mar 05, 2018","4,075","4,006","4,088","3,990","157.03K","2.00%"
"Mar 02, 2018","3,995","3,981","4,003","3,933","109.71K","0.30%"
"Mar 01, 2018","3,983","4,065","4,065","3,944","193.47K","-2.69%"
"Feb 28, 2018","4,093","4,105","4,149","4,032","193.28K","-0.70%"
"Feb 27, 2018","4,122","4,149","4,160","4,093","140.69K","-0.79%"
"Feb 26, 2018","4,155","4,130","4,172","4,093","128.37K","0.73%"
"Feb 23, 2018","4,125","4,109","4,141","4,044","119.70K","0.95%"
"Feb 22, 2018","4,086","3,995","4,105","3,974","163.24K","2.18%"
"Feb 21, 2018","3,999","4,019","4,019","3,961","126.55K","-0.87%"
"Feb 20, 2018","4,034","4,020","4,060","4,001","142.76K","-0.07%"
"Feb 19, 2018","4,037","3,995","4,048","3,995","80.16K","2.44%"
"Feb 16, 2018","3,941","3,937","3,972","3,892","114.54K","0.77%"
"Feb 15, 2018","3,911","3,850","3,933","3,818","169.22K","2.30%"
"Feb 14, 2018","3,823","3,800","3,850","3,737","181.74K","0.26%"
"Feb 13, 2018","3,813","3,833","3,833","3,753","107.11K","-0.75%"
"Feb 12, 2018","3,842","3,817","3,912","3,817","149.45K","0.92%"
"Feb 09, 2018","3,807","3,920","3,920","3,795","150.41K","-3.15%"
"Feb 08, 2018","3,931","3,968","3,989","3,909","168.39K","-0.71%"
"Feb 07, 2018","3,959","4,109","4,109","3,948","214.45K","-3.42%"
"Feb 06, 2018","4,099","4,094","4,140","4,065","161.06K","-0.10%"
"Feb 05, 2018","4,103","4,166","4,197","4,086","150.25K","-1.98%"
"Feb 02, 2018","4,186","4,200","4,248","4,141","141.62K","-0.21%"
"Feb 01, 2018","4,195","4,120","4,212","4,120","141.14K","2.02%"
"Jan 31, 2018","4,112","4,090","4,122","4,063","137.03K","0.15%"
"Jan 30, 2018","4,106","4,149","4,153","4,092","119.80K","-1.70%"
"Jan 29, 2018","4,177","4,210","4,271","4,142","109.77K","-0.31%"
"Jan 25, 2018","4,190","4,158","4,229","4,158","121.59K","1.31%"
"Jan 24, 2018","4,136","4,107","4,163","4,100","126.96K","0.63%"
"Jan 23, 2018","4,110","4,075","4,132","4,069","114.92K","1.61%"
"Jan 22, 2018","4,045","4,063","4,098","4,033","107.78K","0.20%"
"Jan 19, 2018","4,037","4,080","4,080","4,011","94.96K","-1.25%"
"Jan 18, 2018","4,088","4,100","4,107","4,052","110.14K","0.07%"
"Jan 17, 2018","4,085","4,074","4,097","4,043","94.66K","-0.02%"
"Jan 16, 2018","4,086","4,107","4,128","4,060","111.37K","-0.73%"
"Jan 15, 2018","4,116","4,088","4,122","4,066","81.59K","1.25%"
"Jan 12, 2018","4,065","4,083","4,083","4,007","116.56K","-0.85%"
"Jan 11, 2018","4,100","4,040","4,123","4,040","123.58K","1.59%"
"Jan 10, 2018","4,036","4,016","4,059","4,016","114.86K","0.82%"
"Jan 09, 2018","4,003","3,927","4,010","3,927","122.91K","2.48%"
"Jan 08, 2018","3,906","3,900","3,933","3,892","93.95K","0.49%"
"Jan 05, 2018","3,887","3,922","3,929","3,866","102.58K","-0.87%"
"Jan 04, 2018","3,921","3,910","3,950","3,903","110.54K","0.46%"
"Jan 03, 2018","3,903","3,834","3,909","3,827","114.98K","2.07%"
"Jan 02, 2018","3,824","3,866","3,866","3,817","100.30K","-0.13%"
"Jan 01, 2018","3,829","3,858","3,858","3,782","15.27K","-0.55%"
"Dec 29, 2017","3,850","3,832","3,863","3,826","85.95K","0.79%"
"Dec 28, 2017","3,820","3,822","3,842","3,801","72.86K","0.05%"
"Dec 27, 2017","3,818","3,823","3,844","3,807","94.69K","-0.39%"
"Dec 26, 2017","3,833","3,741","3,838","3,738","110.48K","2.57%"
"Dec 22, 2017","3,737","3,734","3,745","3,710","77.75K","0.13%"
"Dec 21, 2017","3,732","3,722","3,740","3,693","110.33K","0.43%"
"Dec 20, 2017","3,716","3,704","3,722","3,682","92.74K","0.49%"
"Dec 19, 2017","3,698","3,686","3,702","3,668","95.85K","1.37%"
"Dec 18, 2017","3,648","3,681","3,712","3,642","91.51K","-0.57%"
"Dec 15, 2017","3,669","3,660","3,684","3,648","107.95K","0.49%"
"Dec 14, 2017","3,651","3,651","3,659","3,601","136.39K","-0.14%"
"Dec 13, 2017","3,656","3,700","3,724","3,643","135.48K","-0.98%"
"Dec 12, 2017","3,692","3,724","3,778","3,682","146.23K","-0.75%"
"Dec 11, 2017","3,720","3,677","3,738","3,661","125.03K","0.76%"
"Dec 08, 2017","3,692","3,658","3,724","3,646","129.36K","0.96%"
"Dec 07, 2017","3,657","3,625","3,660","3,604","97.87K","0.55%"
"Dec 06, 2017","3,637","3,709","3,713","3,626","120.58K","-2.34%"
"Dec 05, 2017","3,724","3,712","3,733","3,681","106.07K","0.27%"
"Dec 04, 2017","3,714","3,750","3,750","3,706","98.93K","-1.28%"
"Dec 01, 2017","3,762","3,712","3,802","3,712","135.45K","2.03%"
"Nov 30, 2017","3,687","3,684","3,747","3,670","164.02K","0.24%"
"Nov 29, 2017","3,678","3,715","3,757","3,660","149.87K","-1.61%"
"Nov 28, 2017","3,738","3,752","3,752","3,701","106.33K","-0.51%"
"Nov 27, 2017","3,757","3,810","3,810","3,715","112.51K","-1.31%"
"Nov 24, 2017","3,807","3,789","3,814","3,781","85.55K","0.24%"
"Nov 23, 2017","3,798","3,755","3,815","3,740","90.00K","1.36%"
"Nov 22, 2017","3,747","3,691","3,772","3,691","133.68K","1.88%"
"Nov 21, 2017","3,678","3,679","3,717","3,665","112.80K","0.41%"
"Nov 20, 2017","3,663","3,694","3,708","3,636","104.46K","0.05%"
"Nov 17, 2017","3,661","3,582","3,669","3,579","106.45K","1.69%"
"Nov 16, 2017","3,600","3,621","3,628","3,582","101.80K","-0.58%"
"Nov 15, 2017","3,621","3,611","3,635","3,587","111.00K","-0.49%"
"Nov 14, 2017","3,639","3,710","3,714","3,613","126.70K","-2.18%"
"Nov 13, 2017","3,720","3,707","3,742","3,689","108.42K","0.22%"
"Nov 10, 2017","3,712","3,714","3,758","3,699","95.41K","-0.70%"
"Nov 09, 2017","3,738","3,691","3,746","3,685","119.95K","1.16%"
"Nov 08, 2017","3,695","3,717","3,765","3,666","163.61K","-1.04%"
"Nov 07, 2017","3,734","3,711","3,749","3,704","136.05K","1.16%"
"Nov 06, 2017","3,691","3,600","3,705","3,600","136.97K","3.13%"
"Nov 03, 2017","3,579","3,540","3,589","3,522","110.23K","1.68%"
"Nov 02, 2017","3,520","3,499","3,528","3,495","95.02K","0.57%"
"Nov 01, 2017","3,500","3,536","3,572","3,482","134.80K","-0.79%"
"Oct 31, 2017","3,528","3,512","3,535","3,498","97.14K","0.43%"
"Oct 30, 2017","3,513","3,510","3,540","3,490","116.31K","0.34%"
"Oct 27, 2017","3,501","3,426","3,514","3,411","122.08K","2.13%"
"Oct 26, 2017","3,428","3,378","3,437","3,372","96.42K","1.30%"
"Oct 25, 2017","3,384","3,427","3,427","3,376","130.42K","-1.37%"
"Oct 24, 2017","3,431","3,385","3,435","3,361","149.50K","1.42%"
"Oct 23, 2017","3,383","3,393","3,408","3,372","113.12K","0.33%"
"Oct 20, 2017","3,372","3,345","3,379","3,322","65.46K","0.39%"
"Oct 19, 2017","3,359","3,380","3,380","3,344","16.30K","-0.77%"
"Oct 18, 2017","3,385","3,365","3,406","3,364","86.88K","0.95%"
"Oct 17, 2017","3,353","3,357","3,393","3,328","126.40K","-0.30%"
"Oct 16, 2017","3,363","3,325","3,389","3,325","115.40K","1.60%"
"Oct 13, 2017","3,310","3,313","3,358","3,300","140.21K","0.42%"
"Oct 12, 2017","3,296","3,330","3,330","3,264","153.48K","-1.52%"
"Oct 11, 2017","3,347","3,338","3,360","3,304","129.71K","0.48%"
"Oct 10, 2017","3,331","3,249","3,335","3,244","131.61K","2.30%"
"Oct 09, 2017","3,256","3,240","3,260","3,218","107.63K","0.49%"
"Oct 06, 2017","3,240","3,311","3,323","3,223","147.31K","-2.20%"
"Oct 05, 2017","3,313","3,260","3,340","3,255","136.37K","1.44%"
"Oct 04, 2017","3,266","3,287","3,304","3,248","139.22K","-1.36%"
"Oct 03, 2017","3,311","3,354","3,354","3,295","131.03K","-1.84%"
"Sep 29, 2017","3,373","3,400","3,400","3,356","146.28K","0.00%"
"Sep 28, 2017","3,373","3,424","3,472","3,360","173.55K","-1.26%"
"Sep 27, 2017","3,416","3,414","3,451","3,398","143.62K","0.41%"
"Sep 26, 2017","3,402","3,424","3,435","3,373","143.67K","-0.12%"
"Sep 25, 2017","3,406","3,284","3,412","3,280","129.66K","3.62%"
"Sep 22, 2017","3,287","3,298","3,308","3,273","106.95K","-0.24%"
"Sep 21, 2017","3,295","3,282","3,312","3,255","138.94K","0.27%"
"Sep 20, 2017","3,286","3,235","3,298","3,218","151.95K","3.63%"
"Sep 19, 2017","3,171","3,206","3,235","3,166","115.79K","-1.15%"
"Sep 18, 2017","3,208","3,209","3,226","3,158","155.49K","0.53%"
"Sep 15, 2017","3,191","3,200","3,214","3,167","129.06K","-0.75%"
"Sep 14, 2017","3,215","3,160","3,243","3,150","136.31K","1.68%"
"Sep 13, 2017","3,162","3,089","3,169","3,082","157.68K","2.26%"
"Sep 12, 2017","3,092","3,077","3,105","3,059","152.01K","0.62%"
"Sep 11, 2017","3,073","3,060","3,089","3,010","152.20K","0.92%"
"Sep 08, 2017","3,045","3,149","3,150","3,034","130.05K","-3.12%"
"Sep 07, 2017","3,143","3,157","3,161","3,116","155.80K","-0.38%"
"Sep 06, 2017","3,155","3,120","3,174","3,120","134.46K","1.06%"
"Sep 05, 2017","3,122","3,045","3,142","3,043","148.65K","2.39%"
"Sep 04, 2017","3,049","3,010","3,058","3,010","81.47K","0.93%"
"Sep 01, 2017","3,021","3,018","3,029","2,984","147.76K","-0.56%"
"Aug 31, 2017","3,038","2,956","3,047","2,943","164.93K","2.74%"
"Aug 30, 2017","2,957","2,958","2,998","2,943","143.64K","-0.17%"
"Aug 29, 2017","2,962","2,990","3,013","2,935","175.91K","-0.27%"
"Aug 28, 2017","2,970","3,059","3,059","2,951","155.66K","-2.88%"
"Aug 25, 2017","3,058","3,060","3,073","3,041","76.58K","0.56%"
"Aug 24, 2017","3,041","3,106","3,111","3,024","147.48K","-2.12%"
"Aug 23, 2017","3,107","3,073","3,116","3,058","134.28K","1.14%"
"Aug 22, 2017","3,072","3,072","3,102","3,047","163.49K","1.12%"
"Aug 21, 2017","3,038","3,104","3,121","3,013","123.40K","-2.13%"
"Aug 18, 2017","3,104","3,015","3,111","3,002","151.91K","2.75%"
"Aug 17, 2017","3,021","3,029","3,029","2,981","120.30K","0.43%"
"Aug 16, 2017","3,008","3,070","3,085","3,003","151.46K","-2.02%"
"Aug 14, 2017","3,070","3,128","3,149","3,064","162.75K","-1.82%"
"Aug 11, 2017","3,127","3,111","3,132","3,082","158.57K","-0.03%"
"Aug 10, 2017","3,128","3,168","3,223","3,120","211.44K","-0.92%"
"Aug 09, 2017","3,157","3,133","3,176","3,123","164.19K","0.57%"
"Aug 08, 2017","3,139","3,129","3,179","3,116","163.23K","-0.16%"
"Aug 07, 2017","3,144","3,130","3,159","3,105","158.54K","-0.16%"
"Aug 04, 2017","3,149","3,130","3,165","3,094","170.51K","0.19%"
"Aug 03, 2017","3,143","3,148","3,189","3,132","160.67K","-0.13%"
"Aug 02, 2017","3,147","3,116","3,158","3,101","187.68K","0.38%"
"Aug 01, 2017","3,135","3,221","3,234","3,107","185.95K","-1.51%"
"Jul 31, 2017","3,183","3,200","3,214","3,165","127.71K","-0.28%"
"Jul 28, 2017","3,192","3,155","3,200","3,144","113.88K","0.98%"
"Jul 27, 2017","3,161","3,131","3,166","3,106","164.55K","0.93%"
"Jul 26, 2017","3,132","3,105","3,153","3,090","165.63K","1.36%"
"Jul 25, 2017","3,090","3,004","3,098","3,001","150.21K","3.10%"
"Jul 24, 2017","2,997","2,965","3,003","2,936","167.60K","1.08%"
"Jul 21, 2017","2,965","3,037","3,047","2,957","157.90K","-2.37%"
"Jul 20, 2017","3,037","3,053","3,084","3,032","144.70K","0.30%"
"Jul 19, 2017","3,028","2,982","3,039","2,968","137.98K","1.85%"
"Jul 18, 2017","2,973","2,970","3,017","2,949","164.48K","0.17%"
"Jul 17, 2017","2,968","3,005","3,020","2,964","159.17K","-0.74%"
"Jul 14, 2017","2,990","2,964","3,010","2,953","192.28K","0.88%"
"Jul 13, 2017","2,964","2,952","2,985","2,903","192.17K","0.51%"
"Jul 12, 2017","2,949","2,929","3,000","2,910","219.18K","1.27%"
"Jul 11, 2017","2,912","2,878","2,926","2,836","207.60K","1.25%"
"Jul 10, 2017","2,876","2,882","2,893","2,822","172.99K","0.45%"
"Jul 07, 2017","2,863","2,933","2,933","2,835","207.78K","-2.85%"
"Jul 06, 2017","2,947","2,953","3,019","2,932","179.84K","0.31%"
"Jul 05, 2017","2,938","3,065","3,067","2,931","191.01K","-4.24%"
"Jul 04, 2017","3,068","3,039","3,075","3,036","94.97K","0.82%"
"Jul 03, 2017","3,043","2,974","3,047","2,974","122.35K","2.53%"
"Jun 30, 2017","2,968","2,924","2,972","2,924","109.15K","1.71%"
"Jun 29, 2017","2,918","2,904","2,946","2,904","127.79K","0.90%"
"Jun 28, 2017","2,892","2,852","2,905","2,839","154.73K","1.12%"
"Jun 27, 2017","2,860","2,807","2,877","2,807","123.43K","2.11%"
"Jun 26, 2017","2,801","2,792","2,812","2,757","72.01K","0.86%"
"Jun 23, 2017","2,777","2,777","2,797","2,755","121.78K","0.04%"
"Jun 22, 2017","2,776","2,756","2,813","2,738","141.42K","1.28%"
"Jun 21, 2017","2,741","2,819","2,866","2,732","221.65K","-2.56%"
"Jun 20, 2017","2,813","2,882","2,892","2,791","155.84K","-1.68%"
"Jun 19, 2017","2,861","2,880","2,900","2,855","92.01K","-0.63%"
"Jun 16, 2017","2,879","2,877","2,899","2,871","85.74K","0.07%"
"Jun 15, 2017","2,877","2,889","2,894","2,858","113.69K","0.14%"
"Jun 14, 2017","2,873","2,970","2,983","2,863","223.64K","-3.75%"
"Jun 13, 2017","2,985","2,988","2,996","2,938","132.21K","-0.10%"
"Jun 12, 2017","2,988","2,972","3,015","2,945","136.24K","0.98%"
"Jun 09, 2017","2,959","2,935","2,974","2,910","135.36K","0.48%"
"Jun 08, 2017","2,945","2,972","2,977","2,911","171.14K","-0.71%"
"Jun 07, 2017","2,966","3,100","3,111","2,954","192.46K","-4.01%"
"Jun 06, 2017","3,090","3,042","3,098","3,036","177.76K","1.25%"
"Jun 05, 2017","3,052","3,103","3,119","3,022","167.89K","-0.94%"
"Jun 02, 2017","3,081","3,130","3,130","3,021","221.28K","-2.47%"
"Jun 01, 2017","3,159","3,135","3,175","3,114","184.74K","1.02%"
"May 31, 2017","3,127","3,196","3,196","3,090","172.82K","-2.37%"
"May 30, 2017","3,203","3,245","3,245","3,175","129.13K","-1.72%"
"May 29, 2017","3,259","3,207","3,270","3,198","83.84K","1.43%"
"May 26, 2017","3,213","3,149","3,220","3,119","180.45K","1.10%"
"May 25, 2017","3,178","3,350","3,365","3,166","261.10K","-4.54%"
"May 24, 2017","3,329","3,351","3,370","3,317","134.32K","-0.36%"
"May 23, 2017","3,341","3,303","3,346","3,284","108.03K","0.94%"
"May 22, 2017","3,310","3,299","3,330","3,290","101.74K","1.38%"
"May 19, 2017","3,265","3,220","3,282","3,214","96.31K","1.94%"
"May 18, 2017","3,203","3,151","3,224","3,118","154.90K","1.49%"
"May 17, 2017","3,156","3,111","3,174","3,088","176.21K","1.06%"
"May 16, 2017","3,123","3,160","3,164","3,115","123.87K","-0.83%"
"May 15, 2017","3,149","3,085","3,182","3,085","131.40K","2.71%"